Specimen properties : Specimen label,"Leather"
Specimen properties : Width,"37.69000",mm
Specimen properties : Thickness,"0.96000",mm
Specimen properties : Length,"105.31000",mm
Test : Rate 1,"50.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"55.00","46.269","234.7"
"55.25","46.477","236.1"
"55.50","46.685","237.6"
"55.75","46.893","239.1"
"56.00","47.102","240.6"
"56.25","47.310","242.0"
"56.50","47.519","243.5"
"56.75","47.727","244.9"
"57.00","47.935","246.4"
"57.25","48.143","247.8"
"57.50","48.352","249.3"
"57.75","48.560","250.8"
"58.00","48.769","252.3"
"58.25","48.977","253.8"
"58.50","49.185","255.3"
"58.75","49.394","256.8"
"59.00","49.602","258.3"
"59.25","49.810","259.8"
"59.50","50.019","261.3"
"59.75","50.227","262.9"
"60.00","50.436","264.4"
"60.25","50.644","265.8"
"60.50","50.852","267.2"
"60.75","51.060","268.7"
"61.00","51.269","270.1"
"61.25","51.477","271.5"
"61.50","51.685","272.9"
"61.75","51.894","274.4"
"62.00","52.102","275.9"
"62.25","52.310","277.3"
"62.50","52.519","278.6"
"62.75","52.727","280.0"
"63.00","52.935","281.4"
"63.25","53.144","282.7"
"63.50","53.352","284.0"
"63.75","53.560","285.4"
"64.00","53.769","286.7"
"64.25","53.977","288.0"
"64.50","54.185","289.5"
"64.75","54.393","291.0"
"65.00","54.602","292.5"
"65.25","54.810","294.0"
"65.50","55.019","295.5"
"65.75","55.227","297.0"
"66.00","55.435","298.5"
"66.25","55.644","299.9"
"66.50","55.852","301.4"
"66.75","56.060","302.9"
"67.00","56.269","304.4"
"67.25","56.477","305.8"
"67.50","56.685","307.3"
"67.75","56.894","308.7"
"68.00","57.102","310.1"
"68.25","57.310","311.4"
"68.50","57.519","312.8"
"68.75","57.727","314.2"
"69.00","57.936","315.5"
"69.25","58.144","316.9"
"69.50","58.352","318.3"
"69.75","58.561","319.7"
"70.00","58.769","321.1"
"70.25","58.977","322.5"
"70.50","59.185","324.0"
"70.75","59.394","325.4"
"71.00","59.602","326.8"
"71.25","59.811","328.2"
"71.50","60.019","329.6"
"71.75","60.227","331.1"
"72.00","60.436","332.5"
"72.25","60.644","333.9"
"72.50","60.852","335.3"
"72.75","61.060","336.8"
