Specimen properties : Specimen label,"claire_dogbone"
Specimen properties : Width,"19.24000",mm
Specimen properties : Thickness,"0.84700",mm
Specimen properties : Length,"107.21000",mm
Test : Rate 1,"50.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"54.75","45.626","178.6"
"55.00","45.835","179.7"
"55.25","46.043","180.9"
"55.50","46.252","182.1"
"55.75","46.459","183.3"
"56.00","46.668","184.5"
"56.25","46.877","185.7"
"56.50","47.085","186.9"
"56.75","47.293","188.1"
"57.00","47.501","189.2"
"57.25","47.710","190.4"
"57.50","47.918","191.6"
"57.75","48.126","192.7"
"58.00","48.335","193.9"
"58.25","48.543","195.1"
"58.50","48.752","196.2"
"58.75","48.960","197.3"
"59.00","49.168","198.5"
"59.25","49.376","199.7"
"59.50","49.585","200.8"
"59.75","49.793","202.0"
"60.00","50.001","203.1"
"60.25","50.210","204.3"
"60.50","50.419","205.4"
"60.75","50.626","206.6"
"61.00","50.834","207.7"
"61.25","51.043","208.9"
"61.50","51.252","209.9"
"61.75","51.460","211.1"
"62.00","51.668","212.2"
"62.25","51.876","213.3"
"62.50","52.085","214.4"
"62.75","52.293","215.5"
"63.00","52.501","216.5"
"63.25","52.710","217.6"
"63.50","52.918","218.7"
"63.75","53.126","219.7"
"64.00","53.334","220.8"
"64.25","53.543","221.9"
"64.50","53.752","222.9"
"64.75","53.959","224.0"
"65.00","54.168","225.0"
"65.25","54.377","226.0"
"65.50","54.585","227.0"
"65.75","54.793","228.0"
"66.00","55.001","229.0"
"66.25","55.210","229.9"
"66.50","55.418","230.8"
"66.75","55.626","231.8"
"67.00","55.834","232.7"
"67.25","56.043","233.7"
"67.50","56.251","234.6"
"67.75","56.460","235.5"
"68.00","56.668","236.5"
"68.25","56.877","237.5"
"68.50","57.085","238.4"
"68.75","57.293","239.2"
"69.00","57.501","240.1"
"69.25","57.710","240.9"
"69.50","57.918","241.5"
"69.75","58.126","242.0"
"70.00","58.334","242.4"
"70.25","58.543","242.8"
"70.50","58.752","242.2"
"70.66","58.886","240.2"
"70.79","58.990","238.2"
"70.88","59.070","236.1"
"70.95","59.129","234.1"
"71.01","59.174","232.0"
"71.05","59.206","230.0"
"71.07","59.228","228.0"
"71.10","59.250","225.9"
"71.13","59.274","223.8"
"71.15","59.295","221.7"
"71.17","59.314","219.7"
"71.20","59.332","217.5"
"71.22","59.349","215.4"
"71.24","59.365","213.4"
"71.26","59.382","211.4"
"71.28","59.400","209.2"
"71.30","59.420","207.1"
"71.33","59.442","205.1"
"71.36","59.465","203.0"
"71.38","59.489","200.9"
"71.41","59.509","198.9"
"71.43","59.525","196.6"
"71.44","59.537","194.4"
"71.45","59.545","192.1"
"71.46","59.552","189.3"
"71.46","59.555","187.1"
"71.47","59.557","184.8"
"71.47","59.559","180.7"
"71.47","59.561","174.5"
"71.47","59.563","166.6"
"71.47","59.565","157.7"
"71.48","59.567","148.0"
"71.48","59.569","137.7"
"71.48","59.571","127.1"
"71.48","59.572","116.4"
