Specimen properties : Specimen label,"Eliana Bone "
Specimen properties : Width,"17.08000",mm
Specimen properties : Thickness,"0.96000",mm
Specimen properties : Length,"109.93000",mm
Test : Rate 1,"50.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"54.75","45.626","152.4"
"55.00","45.835","153.6"
"55.25","46.043","154.7"
"55.50","46.251","155.8"
"55.75","46.460","156.9"
"56.00","46.669","158.0"
"56.25","46.877","159.1"
"56.50","47.085","160.2"
"56.75","47.293","161.4"
"57.00","47.502","162.5"
"57.25","47.710","163.6"
"57.50","47.918","164.7"
"57.75","48.126","165.8"
"58.00","48.335","167.0"
"58.25","48.543","168.1"
"58.50","48.751","169.2"
"58.75","48.960","170.3"
"59.00","49.169","171.4"
"59.25","49.376","172.5"
"59.50","49.585","173.6"
"59.75","49.793","174.7"
"60.00","50.001","175.8"
"60.25","50.210","176.9"
"60.50","50.418","178.0"
"60.75","50.626","179.1"
"61.00","50.835","180.2"
"61.25","51.043","181.2"
"61.50","51.251","182.3"
"61.75","51.460","183.4"
"62.00","51.669","184.5"
"62.25","51.876","185.5"
"62.50","52.085","186.6"
"62.75","52.293","187.7"
"63.00","52.502","188.7"
"63.25","52.710","189.8"
"63.50","52.917","190.8"
"63.75","53.126","191.9"
"64.00","53.335","193.0"
"64.25","53.543","194.0"
"64.50","53.751","195.1"
"64.75","53.960","196.1"
"65.00","54.168","197.2"
"65.25","54.376","198.2"
"65.50","54.585","199.2"
"65.75","54.793","200.2"
"66.00","55.002","201.2"
"66.25","55.210","202.2"
"66.50","55.418","203.1"
"66.75","55.626","204.1"
"67.00","55.835","205.1"
"67.25","56.043","206.0"
"67.50","56.251","206.9"
"67.75","56.460","207.8"
"68.00","56.668","208.8"
"68.25","56.877","209.7"
"68.50","57.085","210.6"
"68.75","57.293","211.5"
"69.00","57.501","212.2"
"69.25","57.710","212.9"
"69.50","57.918","213.5"
"69.75","58.127","214.2"
"70.00","58.335","214.9"
"70.25","58.543","215.5"
"70.50","58.751","216.0"
"70.75","58.960","215.8"
"71.00","59.169","215.5"
"71.25","59.377","214.6"
"71.46","59.555","212.6"
"71.56","59.631","210.6"
"71.60","59.670","208.5"
"71.63","59.696","206.5"
"71.66","59.722","204.4"
"71.70","59.750","202.4"
"71.73","59.778","200.4"
"71.76","59.805","198.2"
"71.79","59.825","196.1"
"71.81","59.840","193.8"
"71.82","59.850","191.8"
"71.83","59.858","189.7"
"71.84","59.865","186.4"
"71.84","59.867","183.5"
"71.84","59.869","178.4"
"71.84","59.871","171.3"
"71.84","59.873","162.9"
"71.85","59.875","153.5"
"71.85","59.877","143.5"
"71.85","59.879","133.0"
"71.85","59.881","122.4"
"71.85","59.882","111.7"
