Specimen properties : Specimen label,Sammy Dogbone,
Specimen properties : Width,15.64,mm
Specimen properties : Thickness,1.45,mm
Specimen properties : Length,108.64,mm
Test : Rate 1,50,mm/min
,,
Time,Extension,Load
(s),(mm),(N)
54.46,45.383,407.2
54.58,45.489,409.3
54.71,45.595,411.3
54.84,45.702,413.3
54.97,45.808,415.3
55.09,45.912,417.3
55.22,46.019,419.3
55.35,46.125,421.3
55.47,46.225,423.4
55.59,46.33,425.4
55.72,46.439,427.4
55.85,46.545,429.4
55.98,46.655,431.5
56.11,46.76,433.5
56.23,46.864,435.5
56.36,46.968,437.5
56.48,47.07,439.5
56.61,47.174,441.5
56.74,47.284,443.6
56.86,47.388,445.6
56.99,47.495,447.6
57.12,47.6,449.6
57.24,47.704,451.6
57.36,47.805,453.7
57.49,47.909,455.7
57.61,48.012,457.7
57.74,48.119,459.7
57.87,48.224,461.7
57.99,48.33,463.8
58.12,48.431,465.8
58.24,48.535,467.8
58.36,48.636,469.8
58.48,48.739,471.8
58.61,48.84,473.8
58.73,48.944,475.9
58.86,49.049,477.9
58.98,49.152,479.9
59.1,49.254,481.9
59.23,49.357,483.9
59.35,49.457,485.9
59.47,49.559,487.9
59.59,49.66,489.9
59.71,49.76,492
59.83,49.864,494
59.96,49.967,496
60.08,50.072,498
60.21,50.173,500
60.33,50.275,502
60.45,50.375,504.1
60.57,50.477,506.1
60.69,50.577,508.1
60.81,50.68,510.1
60.94,50.787,512.1
61.06,50.888,514.1
61.19,50.99,516.1
61.31,51.093,518.1
61.43,51.192,520.2
61.54,51.288,522.2
61.66,51.389,524.2
61.79,51.49,526.2
61.91,51.592,528.2
62.03,51.697,530.3
62.15,51.796,532.3
62.28,51.899,534.3
62.4,52.003,536.3
62.52,52.104,538.3
62.64,52.205,540.4
62.77,52.307,542.4
62.89,52.412,544.4
63.01,52.513,546.4
63.13,52.612,548.4
63.25,52.71,550.4
63.37,52.81,552.5
63.49,52.907,554.5
63.6,53.006,556.5
63.72,53.105,558.5
63.84,53.205,560.5
63.97,53.308,562.5
64.09,53.408,564.5
64.21,53.51,566.6
64.33,53.609,568.6
64.45,53.71,570.6
64.57,53.809,572.6
64.69,53.912,574.6
64.81,54.014,576.6
64.94,54.12,578.7
65.06,54.221,580.7
65.19,54.324,582.7
65.31,54.427,584.7
65.44,54.533,586.8
65.56,54.632,588.8
65.68,54.733,590.8
65.8,54.834,592.8
65.92,54.935,594.9
66.04,55.037,596.9
66.16,55.133,598.9
66.27,55.23,600.9
66.39,55.328,602.9
66.51,55.427,604.9
66.63,55.523,606.9
66.74,55.622,608.9
66.86,55.72,611
66.98,55.818,613
67.1,55.917,615
67.21,56.013,617
67.33,56.112,619
67.45,56.21,621
67.56,56.304,623
67.68,56.404,625.1
67.8,56.504,627.1
67.92,56.605,629.1
68.04,56.705,631.1
68.16,56.805,633.2
68.28,56.902,635.2
68.4,57.001,637.2
68.51,57.097,639.2
68.64,57.199,641.2
68.76,57.299,643.2
68.88,57.402,645.3
69,57.505,647.3
69.12,57.605,649.3
69.24,57.704,651.3
69.36,57.804,653.3
69.49,57.907,655.3
69.61,58.008,657.3
69.73,58.109,659.4
69.85,58.214,661.4
69.98,58.316,663.4
70.1,58.418,665.4
70.22,58.518,667.4
70.34,58.622,669.5
70.46,58.72,671.5
70.58,58.819,673.5
70.7,58.922,675.5
70.83,59.024,677.5
70.95,59.127,679.5
71.08,59.233,681.6
71.2,59.335,683.6
71.32,59.436,685.6
71.45,59.54,687.6
71.57,59.644,689.7
71.7,59.75,691.7
71.82,59.855,693.7
71.95,59.96,695.7
72.07,60.061,697.7
72.2,60.165,699.8
72.31,60.263,701.8
72.44,60.365,703.8
72.55,60.464,705.8
72.68,60.565,707.8
72.8,60.667,709.9
72.93,60.775,711.9
73.05,60.878,713.9
73.17,60.976,715.9
73.29,61.075,718
73.41,61.178,720
73.53,61.279,722
73.66,61.387,724
73.79,61.495,726
73.92,61.603,728
74.05,61.711,730.1
74.18,61.817,732.1
74.3,61.92,734.1
74.43,62.028,736.1
74.56,62.135,738.2
74.7,62.248,740.2
74.83,62.359,742.2
74.96,62.472,744.2
75.09,62.58,746.2
75.22,62.685,748.3
75.35,62.792,750.3
75.48,62.899,752.3
75.6,63.004,754.3
75.73,63.112,756.3
75.86,63.222,758.4
75.99,63.329,760.4
76.12,63.435,762.4
76.25,63.542,764.4
76.37,63.645,766.4
76.5,63.748,768.5
76.62,63.854,770.5
76.75,63.961,772.5
76.88,64.068,774.5
77,64.172,776.5
77.13,64.278,778.5
77.25,64.38,780.5
77.38,64.483,782.6
77.5,64.585,784.6
77.63,64.692,786.6
77.76,64.801,788.6
77.89,64.912,790.6
78.02,65.015,792.7
78.14,65.12,794.7
78.26,65.221,796.7
78.39,65.326,798.7
78.51,65.431,800.7
78.64,65.539,802.7
78.77,65.645,804.7
78.9,65.752,806.8
79.03,65.858,808.8
79.15,65.961,810.8
79.27,66.064,812.8
79.4,66.168,814.8
79.53,66.274,816.9
79.65,66.38,818.9
79.79,66.491,820.9
79.91,66.597,822.9
80.05,66.708,824.9
80.18,66.817,826.9
80.31,66.923,829
80.44,67.034,831
80.56,67.137,833
80.69,67.244,835
80.82,67.355,837
80.96,67.47,839
81.1,67.586,841
81.23,67.694,843.1
81.36,67.8,845.1
81.48,67.906,847.1
81.62,68.016,849.1
81.75,68.126,851.1
81.89,68.244,853.1
82.03,68.358,855.1
82.16,68.471,857.2
82.3,68.584,859.2
82.43,68.695,861.2
82.57,68.809,863.2
82.72,68.932,865.2
82.88,69.07,867.2
83.03,69.19,869.3
83.16,69.303,871.3
83.28,69.405,873.3
83.41,69.511,875.3
83.53,69.61,877.3
83.66,69.719,879.3
83.79,69.831,881.3
83.93,69.945,883.3
84.07,70.061,885.3
84.21,70.176,887.4
84.35,70.29,889.4
84.49,70.412,891.4
84.64,70.534,893.4
84.78,70.651,895.4
84.93,70.778,897.4
85.08,70.898,899.5
85.22,71.02,901.5
85.37,71.143,903.5
85.51,71.262,905.5
85.66,71.387,907.5
85.81,71.514,909.5
85.99,71.657,911.6
86.15,71.79,913.6
86.29,71.909,915.6
86.43,72.025,917.6
86.57,72.144,919.6
86.72,72.269,921.7
86.87,72.395,923.7
87.03,72.526,925.7
87.18,72.653,927.7
87.32,72.767,929.7
87.45,72.88,931.7
87.59,72.997,933.8
87.74,73.122,935.8
87.91,73.263,937.8
88.06,73.381,939.8
88.2,73.501,941.8
88.33,73.61,943.8
88.48,73.732,945.8
88.67,73.891,947.8
88.83,74.03,949.8
89,74.17,951.8
89.17,74.306,953.9
89.37,74.473,955.9
89.55,74.624,957.9
89.7,74.754,959.9
89.87,74.892,961.9
90.07,75.057,963.9
90.26,75.215,965.9
90.51,75.424,967.9
90.71,75.597,969.9
90.91,75.763,971.9
91.16,75.971,973.6
91.41,76.18,975.1
91.66,76.389,975.6
91.91,76.597,976.1
92.07,76.73,974.1
92.14,76.788,972
92.17,76.811,969.9
92.19,76.825,967.6
92.2,76.834,965.2
92.2,76.839,963.1
92.21,76.843,959.9
92.21,76.847,956.7
92.22,76.85,952.4
92.22,76.853,941.1
92.22,76.856,918.8
92.22,76.86,885.5
92.22,76.864,844.5
92.23,76.867,798.3
92.23,76.87,748.3
92.23,76.873,695.6
92.23,76.876,641.4
92.23,76.878,586.7
92.24,76.879,532.3
