Specimen properties : Specimen label,Rectangular Leather 1 - Sammy,
Specimen properties : Width,18,mm
Specimen properties : Thickness,0.823,mm
Specimen properties : Length,114.7,mm
Test : Rate 1,50,mm/min
,,
Time,Extension,Load
(s),(mm),(N)
68.5,57.085,156.6
68.75,57.293,155.5
69,57.502,153.8
69.18,57.649,151.8
69.28,57.737,149.8
69.36,57.8,147.7
69.45,57.875,145.7
69.54,57.954,143.7
69.61,58.014,141.7
69.67,58.064,139.6
69.72,58.102,137.6
69.75,58.13,135.4
69.78,58.149,133.4
69.8,58.17,131.4
69.83,58.191,129.3
69.86,58.217,127.3
69.89,58.244,125.2
69.93,58.274,123.2
69.97,58.313,121.1
70.03,58.363,119.1
70.11,58.428,117.1
70.17,58.474,115.1
70.2,58.505,113
70.24,58.539,110.9
70.3,58.586,108.9
70.35,58.628,106.8
70.39,58.662,104.8
70.43,58.694,102.8
70.46,58.722,100.7
70.49,58.747,98.6
70.52,58.772,96.5
70.55,58.795,94.4
70.58,58.815,92.2
70.59,58.826,89.8
70.59,58.83,87.7
70.6,58.832,85.4
70.6,58.834,82.1
70.6,58.836,78.1
70.6,58.837,73.7
70.6,58.839,68.9
70.61,58.841,64
70.61,58.843,58.9
70.61,58.845,53.8
