Specimen properties : Specimen label,"Emily Dogbone"
Specimen properties : Width,"19.33000",mm
Specimen properties : Thickness,"0.93800",mm
Specimen properties : Length,"105.36000",mm
Test : Rate 1,"50.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"54.75","45.627","164.2"
"55.00","45.835","165.4"
"55.25","46.044","166.6"
"55.50","46.252","167.7"
"55.75","46.460","168.8"
"56.00","46.669","170.0"
"56.25","46.877","171.1"
"56.50","47.085","172.2"
"56.75","47.293","173.3"
"57.00","47.502","174.5"
"57.25","47.710","175.6"
"57.50","47.918","176.7"
"57.75","48.126","177.8"
"58.00","48.335","179.0"
"58.25","48.544","180.1"
"58.50","48.752","181.2"
"58.75","48.960","182.3"
"59.00","49.169","183.4"
"59.25","49.377","184.5"
"59.50","49.585","185.5"
"59.75","49.793","186.6"
"60.00","50.002","187.7"
"60.25","50.210","188.8"
"60.50","50.419","189.9"
"60.75","50.626","191.0"
"61.00","50.835","192.1"
"61.25","51.044","193.2"
"61.50","51.252","194.3"
"61.75","51.460","195.4"
"62.00","51.669","196.4"
"62.25","51.877","197.6"
"62.50","52.085","198.7"
"62.75","52.294","199.8"
"63.00","52.502","200.9"
"63.25","52.710","202.0"
"63.50","52.919","203.1"
"63.75","53.127","204.2"
"64.00","53.335","205.2"
"64.25","53.544","206.3"
"64.50","53.752","207.4"
"64.75","53.960","208.4"
"65.00","54.169","209.6"
"65.25","54.377","210.7"
"65.50","54.585","211.8"
"65.75","54.793","212.9"
"66.00","55.002","214.0"
"66.25","55.210","215.1"
"66.50","55.419","216.3"
"66.75","55.626","217.3"
"67.00","55.835","218.4"
"67.25","56.044","219.6"
"67.50","56.252","220.7"
"67.75","56.460","221.8"
"68.00","56.668","222.9"
"68.25","56.877","224.0"
"68.50","57.085","225.1"
"68.75","57.293","226.2"
"69.00","57.502","227.3"
"69.25","57.710","228.4"
"69.50","57.919","229.5"
"69.75","58.126","230.5"
"70.00","58.335","231.6"
"70.25","58.544","232.7"
"70.50","58.752","233.7"
"70.75","58.960","234.7"
"71.00","59.168","235.7"
"71.25","59.377","236.7"
"71.50","59.585","237.7"
"71.75","59.794","238.6"
"72.00","60.002","239.6"
"72.25","60.210","240.6"
"72.50","60.419","241.6"
"72.75","60.627","242.5"
"73.00","60.835","243.4"
"73.25","61.044","244.4"
"73.50","61.252","245.3"
"73.75","61.460","246.2"
"74.00","61.668","247.1"
"74.25","61.877","248.0"
"74.50","62.085","248.9"
"74.75","62.293","249.7"
"75.00","62.502","250.5"
"75.25","62.710","251.3"
"75.50","62.919","252.0"
"75.75","63.126","252.7"
"76.00","63.335","253.1"
"76.25","63.544","253.3"
"76.50","63.752","253.5"
"76.75","63.960","253.4"
"77.00","64.168","253.0"
"77.16","64.305","251.0"
"77.24","64.365","249.0"
"77.28","64.405","247.0"
"77.32","64.434","244.9"
"77.34","64.450","242.7"
"77.35","64.462","240.4"
"77.36","64.471","238.3"
"77.37","64.477","236.1"
"77.38","64.482","233.5"
"77.38","64.484","231.1"
"77.38","64.486","226.3"
"77.38","64.489","218.7"
"77.38","64.491","209.0"
"77.39","64.493","198.0"
"77.39","64.495","185.9"
"77.39","64.497","173.1"
"77.39","64.499","159.9"
"77.39","64.501","146.6"
