Specimen properties : Specimen label,Luis Dogbone,
Specimen properties : Width,15.95,mm
Specimen properties : Thickness,0.879,mm
Specimen properties : Length,105.11,mm
Test : Rate 1,50,mm/min
,,
Time,Extension,Load
(s),(mm),(N)
68,56.667,198.6
68.25,56.876,199.4
68.5,57.084,200.1
68.75,57.293,200.8
69,57.501,201.4
69.25,57.71,202.1
69.5,57.918,202.7
69.75,58.126,203.3
70,58.335,203.8
70.25,58.543,204.4
70.5,58.751,204.8
70.75,58.96,205.1
71,59.168,205.1
71.25,59.376,205.3
71.5,59.585,204.6
71.75,59.793,203.2
72,60.001,201.8
72.19,60.161,199.8
72.28,60.231,197.8
72.33,60.275,195.7
72.36,60.304,193.6
72.38,60.317,191.5
72.39,60.323,186.7
72.39,60.325,181.5
72.39,60.327,174.2
72.39,60.329,165.6
72.39,60.331,156
72.4,60.333,145.8
72.4,60.335,135.1
72.4,60.336,124.2
72.4,60.338,113.3
