Specimen properties : Specimen label,"emily_rectangle"
Specimen properties : Width,"40.48000",mm
Specimen properties : Thickness,"0.93900",mm
Specimen properties : Length,"108.49000",mm
Test : Rate 1,"50.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"54.75","45.626","266.2"
"55.00","45.835","267.8"
"55.25","46.043","269.3"
"55.50","46.251","270.9"
"55.75","46.460","272.5"
"56.00","46.668","274.1"
"56.25","46.876","275.7"
"56.50","47.084","277.4"
"56.75","47.293","279.2"
"57.00","47.502","280.9"
"57.25","47.709","282.5"
"57.50","47.917","284.2"
"57.75","48.126","285.9"
"58.00","48.334","287.6"
"58.25","48.542","289.2"
"58.50","48.751","290.8"
"58.75","48.959","292.5"
"59.00","49.168","294.1"
"59.25","49.376","295.7"
"59.50","49.584","297.4"
"59.75","49.793","299.1"
"60.00","50.001","300.8"
"60.25","50.210","302.4"
"60.50","50.418","304.1"
"60.75","50.626","305.8"
"61.00","50.835","307.5"
"61.25","51.043","309.1"
"61.50","51.251","310.7"
"61.75","51.460","312.4"
"62.00","51.668","314.1"
"62.25","51.876","315.6"
"62.50","52.084","317.3"
"62.75","52.293","319.0"
"63.00","52.502","320.9"
"63.25","52.710","322.6"
"63.50","52.918","324.2"
"63.75","53.126","326.0"
"64.00","53.335","327.7"
"64.25","53.542","329.4"
"64.50","53.751","331.1"
"64.75","53.960","332.8"
"65.00","54.168","334.6"
"65.25","54.376","336.3"
"65.50","54.584","338.0"
"65.75","54.793","339.7"
"66.00","55.002","341.4"
"66.25","55.209","343.0"
"66.50","55.418","344.6"
"66.75","55.626","346.3"
"67.00","55.835","348.0"
"67.25","56.043","349.7"
"67.50","56.251","351.4"
"67.75","56.460","353.1"
"68.00","56.669","354.8"
"68.25","56.876","356.3"
"68.50","57.084","357.9"
"68.75","57.293","359.4"
"69.00","57.501","360.9"
"69.25","57.710","362.4"
"69.50","57.918","363.9"
"69.75","58.126","365.5"
"70.00","58.335","367.0"
"70.25","58.543","368.6"
"70.50","58.751","370.3"
"70.75","58.959","371.9"
"71.00","59.168","373.7"
"71.25","59.376","375.4"
"71.50","59.584","377.1"
"71.75","59.793","378.9"
"72.00","60.002","380.6"
"72.25","60.210","382.1"
"72.50","60.418","383.7"
"72.75","60.626","385.3"
"73.00","60.835","387.0"
"73.25","61.042","388.6"
"73.50","61.251","390.3"
"73.75","61.460","392.0"
"74.00","61.668","393.7"
"74.25","61.876","395.3"
"74.50","62.084","397.0"
"74.75","62.293","398.7"
"75.00","62.501","400.3"
"75.25","62.709","401.9"
"75.50","62.918","403.5"
"75.75","63.127","405.1"
"76.00","63.335","406.7"
"76.25","63.542","408.2"
"76.50","63.751","409.8"
"76.75","63.960","411.4"
"77.00","64.168","412.9"
"77.25","64.376","414.4"
"77.50","64.584","415.8"
"77.75","64.793","417.3"
"78.00","65.001","418.8"
"78.25","65.209","420.3"
"78.50","65.418","421.8"
"78.75","65.626","423.5"
"79.00","65.835","425.1"
"79.25","66.043","426.6"
"79.50","66.251","428.2"
"79.75","66.460","429.9"
"80.00","66.669","431.5"
"80.25","66.876","433.0"
"80.50","67.085","434.6"
"80.75","67.293","436.2"
"81.00","67.502","437.7"
"81.25","67.710","439.0"
"81.50","67.918","440.3"
"81.75","68.127","441.6"
"82.00","68.335","442.8"
"82.25","68.542","443.9"
"82.50","68.751","445.1"
"82.75","68.960","446.2"
"83.00","69.168","447.4"
"83.25","69.376","448.4"
"83.50","69.584","449.6"
"83.75","69.793","450.9"
"84.00","70.001","452.1"
"84.25","70.209","453.4"
"84.50","70.418","454.6"
"84.75","70.626","455.9"
"85.00","70.835","457.3"
"85.25","71.043","458.5"
"85.50","71.251","459.9"
"85.75","71.460","461.3"
"86.00","71.668","462.5"
"86.25","71.876","463.7"
"86.50","72.084","465.0"
"86.75","72.293","466.2"
"87.00","72.502","467.3"
"87.25","72.709","468.2"
"87.50","72.917","469.1"
"87.75","73.126","469.6"
"88.00","73.335","469.2"
"88.15","73.460","467.2"
"88.22","73.516","465.1"
"88.27","73.558","463.0"
"88.31","73.591","460.9"
"88.33","73.613","458.9"
"88.35","73.630","456.7"
"88.37","73.642","454.6"
"88.38","73.651","452.4"
"88.39","73.659","450.0"
"88.40","73.666","447.5"
"88.40","73.671","445.1"
"88.41","73.677","442.3"
"88.41","73.680","440.0"
"88.42","73.684","437.2"
"88.42","73.687","433.5"
"88.42","73.689","430.6"
"88.43","73.691","425.0"
"88.43","73.694","415.0"
"88.43","73.696","400.1"
"88.43","73.699","381.6"
"88.43","73.701","360.7"
"88.44","73.703","338.0"
"88.44","73.705","314.2"
"88.44","73.707","289.7"
"88.44","73.709","265.1"
